epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.41336,1.25948,6.02238,0.89613,0.87442,0.37842,0.46421,0.34463,1.03988,2.21806,0.84351,0.000359752,0.000359752,0.000359752
2,13.4802,1.10096,1.70299,0.85073,0.83783,0.50404,0.65365,0.48233,0.93618,0.99811,0.83595,0.000722858,0.000722858,0.000722858
3,19.7136,1.05627,1.21745,0.85619,0.77442,0.60737,0.69259,0.50371,0.9537,0.94296,0.83709,0.00107863,0.00107863,0.00107863
4,26.1455,1.04147,1.10046,0.84228,0.71457,0.6779,0.70394,0.49996,0.87245,0.88175,0.8328,0.001078,0.001078,0.001078
5,32.5739,1.01217,0.96794,0.84899,0.74518,0.74322,0.72129,0.53189,0.84851,0.73277,0.82464,0.001067,0.001067,0.001067
6,39.3505,1.01573,0.87799,0.84735,0.7763,0.70377,0.74435,0.53153,0.94368,0.7591,0.83946,0.00105601,0.00105601,0.00105601
7,45.3247,1.00708,0.82163,0.85065,0.78706,0.75569,0.76845,0.55017,0.93858,0.68983,0.8325,0.00104501,0.00104501,0.00104501
8,52.3263,0.98516,0.74585,0.82596,0.88079,0.71226,0.83702,0.6126,0.81666,0.63934,0.82807,0.00103401,0.00103401,0.00103401
9,59.2389,0.96395,0.70794,0.82957,0.9241,0.72717,0.81823,0.62002,0.81136,0.66869,0.80997,0.00102301,0.00102301,0.00102301
10,66.0045,0.87419,0.64751,0.82405,0.8763,0.7198,0.82846,0.61559,0.80263,0.59831,0.81487,0.00101201,0.00101201,0.00101201
11,72.6323,0.90325,0.67973,0.82249,0.85696,0.71496,0.82588,0.62957,0.82285,0.61801,0.82269,0.00100101,0.00100101,0.00100101
12,79.4556,0.88386,0.65217,0.79861,0.75563,0.76863,0.80015,0.61908,0.78428,0.59702,0.81039,0.000990012,0.000990012,0.000990012
13,87.244,0.82249,0.58033,0.83141,0.84418,0.78079,0.82478,0.59329,0.86901,0.59995,0.81926,0.000979013,0.000979013,0.000979013
14,94.7903,0.86725,0.58767,0.81484,0.88958,0.78807,0.82585,0.65957,0.72653,0.50915,0.80631,0.000968014,0.000968014,0.000968014
15,102.113,0.89211,0.62136,0.82518,0.91255,0.80128,0.87482,0.68352,0.7112,0.51597,0.80623,0.000957015,0.000957015,0.000957015
16,108.913,0.85965,0.53812,0.81426,0.91601,0.72511,0.83576,0.60385,0.86899,0.58672,0.82141,0.000946016,0.000946016,0.000946016
17,115.547,0.7897,0.53475,0.81371,0.88485,0.7916,0.86923,0.67074,0.69936,0.47556,0.80359,0.000935018,0.000935018,0.000935018
18,122.363,0.84968,0.56452,0.81902,0.82624,0.80501,0.84643,0.65912,0.66816,0.53084,0.80394,0.000924019,0.000924019,0.000924019
19,129.522,0.82634,0.55196,0.80229,0.91741,0.86379,0.89713,0.69231,0.7154,0.52309,0.80707,0.00091302,0.00091302,0.00091302
20,136.831,0.81709,0.54934,0.81992,0.8812,0.78993,0.87398,0.66483,0.75179,0.53109,0.80921,0.000902021,0.000902021,0.000902021
21,143.923,0.79761,0.51728,0.81946,0.86177,0.7928,0.87454,0.69751,0.72059,0.5304,0.80505,0.000891022,0.000891022,0.000891022
22,150.884,0.8125,0.54539,0.81732,0.78781,0.70999,0.79311,0.63328,0.67602,0.62716,0.80326,0.000880023,0.000880023,0.000880023
23,157.86,0.77659,0.47665,0.81032,0.75973,0.82659,0.83773,0.66602,0.70327,0.49888,0.80415,0.000869024,0.000869024,0.000869024
24,165.106,0.81536,0.48465,0.81419,0.86927,0.79347,0.85016,0.68662,0.6462,0.46912,0.80245,0.000858025,0.000858025,0.000858025
25,172.44,0.76906,0.47698,0.81417,0.95982,0.76962,0.86064,0.6566,0.76066,0.48643,0.81177,0.000847026,0.000847026,0.000847026
26,179.662,0.70273,0.44444,0.81678,0.85587,0.8067,0.8712,0.67977,0.68821,0.48795,0.80149,0.000836027,0.000836027,0.000836027
27,186.439,0.72047,0.46061,0.80043,0.86275,0.80543,0.85345,0.65408,0.74046,0.502,0.8065,0.000825029,0.000825029,0.000825029
28,193.6,0.74644,0.46483,0.80555,0.93516,0.71751,0.79551,0.64239,0.7442,0.52698,0.80199,0.00081403,0.00081403,0.00081403
29,200.571,0.75287,0.48874,0.79043,0.90732,0.74311,0.84185,0.67587,0.63569,0.48497,0.79465,0.000803031,0.000803031,0.000803031
30,207.263,0.74854,0.4631,0.80431,0.92193,0.7333,0.85226,0.70301,0.66377,0.46622,0.79658,0.000792032,0.000792032,0.000792032
31,214.181,0.67448,0.43056,0.79488,0.90593,0.8146,0.87578,0.69627,0.64081,0.45808,0.79947,0.000781033,0.000781033,0.000781033
32,220.726,0.66415,0.43529,0.79917,0.95366,0.80151,0.88281,0.70959,0.67038,0.45954,0.80425,0.000770034,0.000770034,0.000770034
33,227.678,0.67003,0.42573,0.79257,0.90276,0.76453,0.857,0.66718,0.70534,0.49835,0.80637,0.000759035,0.000759035,0.000759035
34,234.491,0.68571,0.42305,0.78735,0.96306,0.7957,0.84064,0.69764,0.62981,0.49359,0.79692,0.000748036,0.000748036,0.000748036
35,241.763,0.71928,0.42949,0.79186,0.94246,0.75525,0.80783,0.63714,0.73967,0.5517,0.80308,0.000737037,0.000737037,0.000737037
36,260.045,0.68027,0.4094,0.79924,0.97546,0.80097,0.83728,0.69806,0.63789,0.44008,0.79766,0.000726038,0.000726038,0.000726038
37,277.629,0.67027,0.43643,0.80342,0.96682,0.73013,0.82093,0.67446,0.65186,0.56855,0.7962,0.00071504,0.00071504,0.00071504
38,294.867,0.71897,0.43329,0.77992,0.79809,0.79668,0.81326,0.66638,0.63445,0.52559,0.79569,0.000704041,0.000704041,0.000704041
