epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3038,1.83471,7.25203,1.09291,0.64105,0.28282,0.28536,0.18618,1.36768,4.73637,0.89791,0.00018887,0.00018887,0.00018887
2,15.9605,1.40813,2.33355,0.93742,0.83903,0.44914,0.55529,0.33506,1.3669,1.8453,0.91392,0.000388754,0.000388754,0.000388754
3,21.3142,1.36631,1.64692,0.93577,0.52796,0.58485,0.58809,0.37882,1.38674,1.36676,0.9038,0.00058825,0.00058825,0.00058825
4,26.5158,1.33121,1.34737,0.99538,0.65287,0.64657,0.67092,0.42918,1.36737,1.09306,0.90609,0.000787061,0.000787061,0.000787061
5,31.6771,1.38011,1.25012,0.95213,0.61556,0.60542,0.6395,0.40161,1.36295,1.03176,0.92951,0.000984895,0.000984895,0.000984895
6,36.5842,1.34244,1.30243,0.93769,0.8241,0.35192,0.44721,0.2885,1.22281,1.76677,0.8779,0.00110417,0.00110417,0.00110417
7,41.6694,1.32676,1.16012,0.93426,0.6855,0.49766,0.57631,0.35379,1.29961,1.52228,0.89701,0.00110117,0.00110117,0.00110117
8,46.7821,1.23929,1.02364,0.9115,0.7357,0.44939,0.5057,0.32436,1.47393,2.0129,0.91168,0.00109764,0.00109764,0.00109764
9,51.9415,1.15139,0.99051,0.90709,0.54045,0.4512,0.47441,0.30135,1.55783,1.90813,0.93478,0.00109357,0.00109357,0.00109357
10,56.9518,1.24228,1.03942,0.91294,0.6109,0.73162,0.73464,0.47718,1.25458,1.39713,0.87032,0.00108897,0.00108897,0.00108897
11,62.0206,1.22528,0.97761,0.91079,0.92379,0.69533,0.82377,0.59962,0.98699,0.85536,0.8493,0.00108384,0.00108384,0.00108384
12,67.0815,1.16101,0.85517,0.90571,0.88312,0.78851,0.82942,0.58538,1.00441,0.68931,0.85651,0.00107819,0.00107819,0.00107819
13,72.1906,1.10506,0.87297,0.91265,0.69388,0.74814,0.76289,0.47354,1.26856,0.96372,0.90632,0.00107203,0.00107203,0.00107203
14,77.385,1.12633,0.82139,0.89948,0.87798,0.74148,0.84798,0.5664,1.0316,0.90633,0.86941,0.00106536,0.00106536,0.00106536
15,82.5488,1.10828,0.84344,0.89426,0.87865,0.73649,0.83416,0.53675,0.99542,0.79866,0.84882,0.00105818,0.00105818,0.00105818
16,87.5655,1.21172,0.93148,0.91036,0.73519,0.6766,0.76503,0.54301,1.09899,1.01129,0.85269,0.00105051,0.00105051,0.00105051
17,92.5137,1.09293,0.85123,0.88104,0.91447,0.72804,0.81843,0.59096,1.03904,0.7923,0.85517,0.00104236,0.00104236,0.00104236
18,97.4213,1.12738,0.80289,0.88371,0.93331,0.7406,0.82816,0.60759,1.00064,0.61472,0.83436,0.00103372,0.00103372,0.00103372
19,102.52,1.19016,0.83116,0.91019,0.93052,0.80663,0.883,0.56902,1.16915,0.6387,0.85824,0.00102461,0.00102461,0.00102461
20,107.426,1.1066,0.76695,0.89505,0.94306,0.83979,0.88398,0.56931,1.12861,0.74743,0.86428,0.00101504,0.00101504,0.00101504
21,112.315,1.12229,0.77162,0.89875,0.87192,0.85129,0.86582,0.60962,0.94556,0.68518,0.83515,0.00100502,0.00100502,0.00100502
22,117.359,1.12037,0.77398,0.89288,0.93389,0.82891,0.86437,0.6086,1.02523,0.67973,0.83329,0.000994548,0.000994548,0.000994548
23,122.297,1.02781,0.77538,0.87188,0.85842,0.81634,0.869,0.63116,0.90833,0.64606,0.82108,0.000983648,0.000983648,0.000983648
24,127.344,1.02853,0.74607,0.87241,0.95112,0.8326,0.88414,0.62451,0.95385,0.61866,0.83364,0.000972326,0.000972326,0.000972326
25,132.34,1.01899,0.7831,0.8783,0.92816,0.86372,0.87755,0.65324,0.89703,0.60773,0.81598,0.000960593,0.000960593,0.000960593
26,137.37,0.99767,0.73045,0.86826,0.96576,0.78401,0.8617,0.61144,0.93667,0.55716,0.83222,0.000948461,0.000948461,0.000948461
27,142.291,1.01277,0.72533,0.88338,0.88167,0.82119,0.86798,0.62845,0.90145,0.56354,0.81356,0.000935941,0.000935941,0.000935941
28,147.162,1.04376,0.75858,0.86073,0.87165,0.84405,0.87973,0.62872,0.89349,0.68149,0.81506,0.000923047,0.000923047,0.000923047
29,152.069,1.03338,0.78556,0.85974,0.9476,0.83876,0.88136,0.59694,1.0622,0.66069,0.84434,0.00090979,0.00090979,0.00090979
30,156.919,1.09004,0.7535,0.88121,0.92686,0.84829,0.88247,0.61874,0.91228,0.58276,0.82659,0.000896185,0.000896185,0.000896185
